pmb-id;HBAS-uri
302;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb302
133;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb133
2238;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2238
150;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb150
30033;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30033
11315;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11315
4954;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb4954
31903;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31903
2563;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2563
833;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb833
29417;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29417
13024;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb13024
386;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb386
29274;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29274
11384;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11384
32586;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32586
31991;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31991
32246;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32246
182;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb182
168;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb168
12740;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12740
13082;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb13082
12737;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12737
28812;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb28812
11485;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11485
19832;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb19832
19610;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb19610
2456;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2456
2425;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2425
2337;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2337
26602;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb26602
2420;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2420
17;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb17
11798;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11798
29212;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29212
29272;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29272
11324;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11324
29781;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29781
32604;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32604
30445;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30445
11036;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11036
32692;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32692
29351;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29351
174;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb174
12491;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12491
31427;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31427
30259;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30259
31275;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31275
29309;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29309
2132;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2132
27667;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb27667
332;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb332
337;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb337
32698;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32698
11737;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11737
2450;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2450
13088;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb13088
28894;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb28894
29429;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29429
2416;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2416
29524;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29524
30261;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30261
14756;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb14756
500;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb500
410;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb410
14328;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb14328
167;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb167
2362;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2362
29270;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29270
30187;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30187
12156;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12156
30189;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30189
11391;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11391
31861;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31861
31273;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31273
32466;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32466
484;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb484
30271;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30271
29794;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29794
29819;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29819
32344;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32344
2138;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2138
20;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb20
12618;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12618
12621;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12621
30067;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30067
772;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb772
12790;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12790
11867;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11867
30397;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30397
12899;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12899
30407;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30407
3561;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb3561
13682;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb13682
28917;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb28917
30073;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30073
11469;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11469
32606;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32606
29749;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29749
77;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb77
434;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb434
244;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb244
2357;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2357
30075;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30075
958;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb958
3;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb3
11763;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11763
12348;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12348
18;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb18
11701;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11701
30474;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30474
30480;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30480
30478;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30478
32067;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32067
29849;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29849
28916;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb28916
32700;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32700
29329;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29329
2128;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2128
29206;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29206
32608;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32608
32610;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32610
3217;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb3217
11370;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11370
4;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb4
860;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb860
12602;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12602
29843;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29843
29845;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29845
29277;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29277
29421;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29421
31979;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31979
165;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb165
7;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb7
32612;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32612
29675;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29675
4968;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb4968
32654;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32654
10928;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb10928
29851;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29851
4974;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb4974
32676;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32676
11851;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11851
677;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb677
29857;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29857
2161;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2161
29933;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29933
32041;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32041
2;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2
31357;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31357
29959;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29959
2202;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2202
12460;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12460
30025;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30025
12698;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb12698
39477;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb39477
32280;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32280
11955;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11955
11941;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11941
31067;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31067
31049;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31049
31045;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31045
31043;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb31043
29891;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb29891
3280;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb3280
32350;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32350
32678;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb32678
11673;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb11673
2216;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb2216
218;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb218
299;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb299
595;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb595
30065;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30065
30981;https://bahrschnitzler.acdh.oeaw.ac.at/entity/pmb30981
